"Feature","Campus","P_Value","Interpretation"
"GreenSpaces","Belval",0.844,"Not significant"
"GreenSpaces","Kirchberg",0.7548,"Not significant"
"GreenSpaces","Limpertsberg",0.1428,"Not significant"
"Building","Belval",0.5926,"Not significant"
"Building","Kirchberg",0.2119,"Not significant"
"Building","Limpertsberg",0.9755,"Not significant"
"Sounds","Belval",0.7533,"Not significant"
"Sounds","Kirchberg",0.8382,"Not significant"
"Sounds","Limpertsberg",0.7717,"Not significant"
