"Campus","Activity_Type","Frequency","Count"
"Belval Campus preference03","necessaryactivities","Daily",4
"Belval Campus preference03","necessaryactivities","Weekly",2
"Belval Campus preference03","necessaryactivities","Monthly",1
"Belval Campus preference03","necessaryactivities","Rarely_Occasionally",2
"Belval Campus preference03","necessaryactivities","Never",2
"Belval Campus preference03","optionalactivities","Daily",2
"Belval Campus preference03","optionalactivities","Weekly",5
"Belval Campus preference03","optionalactivities","Monthly",1
"Belval Campus preference03","optionalactivities","Rarely_Occasionally",2
"Belval Campus preference03","optionalactivities","Never",1
"Belval Campus preference03","socialactivities","Daily",1
"Belval Campus preference03","socialactivities","Weekly",3
"Belval Campus preference03","socialactivities","Monthly",4
"Belval Campus preference03","socialactivities","Rarely_Occasionally",2
"Belval Campus preference03","socialactivities","Never",1
"Kirchberg Campus preference03","necessaryactivities","Daily",11
"Kirchberg Campus preference03","necessaryactivities","Weekly",3
"Kirchberg Campus preference03","necessaryactivities","Rarely_Occasionally",4
"Kirchberg Campus preference03","necessaryactivities","Never",4
"Kirchberg Campus preference03","optionalactivities","Daily",10
"Kirchberg Campus preference03","optionalactivities","Weekly",3
"Kirchberg Campus preference03","optionalactivities","Monthly",3
"Kirchberg Campus preference03","optionalactivities","Rarely_Occasionally",2
"Kirchberg Campus preference03","optionalactivities","Never",4
"Kirchberg Campus preference03","socialactivities","Daily",5
"Kirchberg Campus preference03","socialactivities","Weekly",6
"Kirchberg Campus preference03","socialactivities","Monthly",2
"Kirchberg Campus preference03","socialactivities","Rarely_Occasionally",6
"Kirchberg Campus preference03","socialactivities","Never",3
"Limpertsberg Campus preference03","necessaryactivities","Daily",5
"Limpertsberg Campus preference03","necessaryactivities","Weekly",2
"Limpertsberg Campus preference03","necessaryactivities","Monthly",1
"Limpertsberg Campus preference03","necessaryactivities","Never",1
"Limpertsberg Campus preference03","optionalactivities","Daily",3
"Limpertsberg Campus preference03","optionalactivities","Weekly",1
"Limpertsberg Campus preference03","optionalactivities","Monthly",2
"Limpertsberg Campus preference03","optionalactivities","Rarely_Occasionally",2
"Limpertsberg Campus preference03","optionalactivities","Never",1
"Limpertsberg Campus preference03","socialactivities","Daily",3
"Limpertsberg Campus preference03","socialactivities","Weekly",2
"Limpertsberg Campus preference03","socialactivities","Rarely_Occasionally",3
"Limpertsberg Campus preference03","socialactivities","Never",1
