"Feature","Chi_Square","P_Value","Significance"
"Greenspaces",67.3734500059234,2.34445131087083e-15,"Significant"
"Buildings",33.4356604387088,5.48957327381517e-08,"Significant"
"Sounds",53.1837850297546,2.82675271147089e-12,"Significant"
