"","Mean","Median","Mode","Min","Max","IQR","Skewness","Kurtosis"
"GreenSpacesBelvalCampus",21.4285714285714,20,10,10,50,20,0.813152771563431,0.088447791231149
"GreenSpacesKirchbergCampus",35.7142857142857,40,40,10,50,10,-0.85309996195384,0.313532097613452
"GreenSpacesLimpertsbergCampus",45.4761904761905,50,50,30,50,10,-1.02052624718272,-0.104674246399823
"BuildingBelvalCampus",37.8571428571429,40,40,10,50,17.5,-0.818283821461722,0.320625739251173
"BuildingKirchbergCampus",23.8095238095238,25,30,10,50,20,0.188720035079954,-0.951927055275231
"BuildingLimpertsbergCampus",37.1428571428571,40,40,10,50,17.5,-0.689554889359148,-0.251754259110519
"SoundsBelvalCampus",24.7619047619048,20,20,10,50,10,0.333823696207005,-0.606669252792312
"SoundsKirchbergCampus",35.4761904761905,40,40,20,50,10,-0.367168423065916,-0.658319722605762
"SoundsLimpertsbergCampus",43.5714285714286,50,50,20,50,10,-0.969002938467006,-0.100956391209811
