"Feature","Campus","P_Value","Interpretation"
"GreenSpaces","Belval",0.0505,"Trend"
"GreenSpaces","Kirchberg",0.8465,"Not significant"
"GreenSpaces","Limpertsberg",0.2593,"Not significant"
"Building","Belval",0.1207,"Not significant"
"Building","Kirchberg",0.4826,"Not significant"
"Building","Limpertsberg",0.1757,"Not significant"
"Sounds","Belval",0.9364,"Not significant"
"Sounds","Kirchberg",1,"Not significant"
"Sounds","Limpertsberg",0.0366,"Significant"
