"Campus","Activity_Type","Frequency","Count"
"Belval Campus preference01","necessaryactivities","Daily",10
"Belval Campus preference01","necessaryactivities","Weekly",2
"Belval Campus preference01","necessaryactivities","Rarely_Occasionally",2
"Belval Campus preference01","necessaryactivities","Never",1
"Belval Campus preference01","optionalactivities","Daily",7
"Belval Campus preference01","optionalactivities","Weekly",2
"Belval Campus preference01","optionalactivities","Monthly",2
"Belval Campus preference01","optionalactivities","Rarely_Occasionally",3
"Belval Campus preference01","optionalactivities","Never",1
"Belval Campus preference01","socialactivities","Daily",5
"Belval Campus preference01","socialactivities","Weekly",6
"Belval Campus preference01","socialactivities","Monthly",1
"Belval Campus preference01","socialactivities","Rarely_Occasionally",2
"Belval Campus preference01","socialactivities","Never",1
"Kirchberg Campus preference01","necessaryactivities","Monthly",1
"Kirchberg Campus preference01","optionalactivities","Monthly",1
"Kirchberg Campus preference01","socialactivities","Rarely_Occasionally",1
"Limpertsberg Campus preference01","necessaryactivities","Daily",10
"Limpertsberg Campus preference01","necessaryactivities","Weekly",5
"Limpertsberg Campus preference01","necessaryactivities","Monthly",1
"Limpertsberg Campus preference01","necessaryactivities","Rarely_Occasionally",4
"Limpertsberg Campus preference01","necessaryactivities","Never",6
"Limpertsberg Campus preference01","optionalactivities","Daily",8
"Limpertsberg Campus preference01","optionalactivities","Weekly",7
"Limpertsberg Campus preference01","optionalactivities","Monthly",3
"Limpertsberg Campus preference01","optionalactivities","Rarely_Occasionally",3
"Limpertsberg Campus preference01","optionalactivities","Never",5
"Limpertsberg Campus preference01","socialactivities","Daily",4
"Limpertsberg Campus preference01","socialactivities","Weekly",5
"Limpertsberg Campus preference01","socialactivities","Monthly",5
"Limpertsberg Campus preference01","socialactivities","Rarely_Occasionally",8
"Limpertsberg Campus preference01","socialactivities","Never",4
